#
# $Id$
#
# Source: https://mi3.ncdc.noaa.gov/mi3report/MISC/nexrad-stations.TXT
#
# Fields: ncdcid,icao,wban,name,state,county,lat,lon,elev,time
#
30001874,kjkl,03889,jackson,ky,breathitt,37.59083,-83.31306,1364,+5
30001875,klbb,23042,lubbock,tx,lubbock,33.65417,-101.81361,3259,+6
30001876,klch,03937,lake charles,la,calcasieu,30.125,-93.21583,13,+6
30001877,klix,53813,new orleans,la,st. tammany,30.33667,-89.82528,24,+6
30001878,klnx,94049,north platte,ne,logan,41.95778,-100.57583,2970,+6
30001879,klot,04831,chicago,il,will,41.60444,-88.08472,663,+6
30001880,klrx,04108,elko,nv,lander,40.73972,-116.80278,6744,+8
30001881,klsx,03982,st louis,mo,st. charles,38.69889,-90.68278,608,+6
30001882,kltx,93774,wilmington,nc,brunswick,33.98917,-78.42917,64,+5
30001883,klvx,53827,louisville,ky,hardin,37.97528,-85.94389,719,+5
30001884,klwx,93767,sterling,va,loudoun,38.97528,-77.47806,272,+5
30001885,klzk,03952,little rock,ar,pulaski,34.83639,-92.26194,20,+6
30001886,kmaf,23023,midland odessa,tx,midland,31.94333,-102.18889,2868,+6
30001887,kmax,94296,medford,or,jackson,42.08111,-122.71611,7513,+8
30001888,kmbx,94048,minot afb,nd,mchenry,48.3925,-100.86444,1493,+6
30001889,kmhx,93768,morehead city,nc,carteret,34.77583,-76.87639,31,+5
30001890,kmkx,04834,milwaukee,wi,waukesha,42.96778,-88.55056,958,+6
30001891,kmlb,12838,melbourne,fl,brevard,28.11306,-80.65444,35,+5
30001892,kmob,13894,mobile,al,mobile,30.67944,-88.23972,208,+6
30001893,kmpx,94983,minneapolis,mn,carver,44.84889,-93.56528,946,+6
30001894,kmqt,94850,marquette,mi,marquette,46.53111,-87.54833,1411,+5
30001895,kmrx,53832,knoxville,tn,hamblen,36.16833,-83.40194,1337,+5
30001896,kmsx,04103,missoula,mt,missoula,47.04111,-113.98611,7855,+7
30001897,kmtx,04104,salt lake,ut,salt lake,41.26278,-112.44694,6460,+7
30001898,kmux,93236,san francisco,ca,santa clara,37.15528,-121.8975,3469,+8
30001899,kmvx,94986,grand forks,nd,traill,47.52806,-97.325,986,+6
30001900,kmxx,53826,maxwell afb,al,tallapoosa,32.53667,-85.78972,400,+6
30001901,knkx,53115,san diego,ca,san diego,32.91889,-117.04194,955,+8
30001902,knqa,93839,memphis,tn,shelby,35.34472,-89.87333,282,+5
30001903,koax,94980,omaha,ne,douglas,41.32028,-96.36639,1148,+6
30001904,kohx,53833,nashville,tn,wilson,36.24722,-86.5625,579,+5
30001905,kokx,94703,new york,ny,suffolk,40.86556,-72.86444,85,+5
30001906,kotx,04106,spokane,wa,spokane,47.68056,-117.62583,2384,+8
30001907,kpah,03816,paducah,ky,mccracken,37.06833,-88.77194,392,+6
30001908,kpbz,04832,pittsburgh,pa,allegheny,40.53167,-80.21833,1185,+5
30001909,kpdt,24155,pendleton,or,umatilla,45.69056,-118.85278,1515,+8
30001910,kpoe,03993,ft polk,la,vernon,31.15528,-92.97583,408,+6
30001911,kpux,03021,pueblo,co,pueblo,38.45944,-104.18139,5249,+7
30001912,krax,93772,raleigh durham,nc,wake,35.66528,-78.49,348,+5
30001913,krgx,53104,reno,nv,washoe,39.75417,-119.46111,8299,+8
30001914,kriw,24061,riverton,wy,fremont,43.06611,-108.47667,5568,+7
30001915,krlx,53834,charleston,wv,kanawha,38.31194,-81.72389,1080,+5
30001916,krmx,94288,portland,or,washington,45.715,-122.96417,1572,+8
30001917,ksfx,04107,pocatello,id,bingham,43.10583,-112.68528,4474,+7
30001918,ksgf,13995,springfield,mo,greene,37.23528,-93.40028,1278,+6
30001920,kshv,13957,shreveport,la,caddo,32.45056,-93.84111,273,+6
30001921,ksjt,23034,san angelo,tx,tom green,31.37111,-100.49222,1890,+6
30001922,ksox,53117,santa anna,ca,orange,33.81778,-117.635,3027,+8
30001948,ksrx,53906,ft smith,ar,sebastian,35.29056,-94.36167,1516,+6
30001923,ktbw,92801,tampa,fl,hillsborough,27.70528,-82.40194,41,+5
30001925,ktfx,04102,great falls,mt,cascade,47.45972,-111.38444,3714,+7
30001924,ktlh,93805,tallahassee,fl,leon,30.3975,-84.32889,63,+5
30001926,ktlx,03979,oklahoma city,ok,oklahoma,35.33306,-97.2775,1213,+6
30001927,ktwx,03986,topeka,ks,wabaunsee,38.99694,-96.2325,1367,+6
30001946,ktyx,54776,ft drum,ny,lewis,43.75583,-75.68,1846,+5
30001928,kudx,94047,rapid city,sd,pennington,44.125,-102.82944,3016,+6
30001929,kuex,94981,hastings,ne,webster,40.32083,-98.44167,1976,+6
30001947,kvax,53856,moody afb,ga,lanier,30.89,-83.00194,178,+5
30001930,kvbx,93234,vandenberg afb,ca,santa barbara,34.83806,-120.39583,1233,+8
30001931,kvnx,03995,vance afb,ok,alfalfa,36.74083,-98.1275,1210,+6
30001932,kvtx,53101,los angeles,ca,ventura,34.41167,-119.17861,2726,+8
30001934,kvwx,53116,yuma,az,pima,32.49528,-114.65583,174,+7
30001609,kvwx,63845,evansville,in,gibson,38.26,-87.72472,-99999,+6
30001939,pabc,bethel,faa,ak,bethel,60.79278,-161.87417,162,+9
30001940,pacg,25361,sitka,ak,sitka,56.85278,-135.52917,270,+9
30001941,paec,26641,nome,ak,nome,64.51139,-165.295,54,+9
30001942,pahg,26548,anchorage,ak,kenai peninsula,60.72639,-151.34917,242,+9
30001958,paih,25404,middleton island,ak,valdez-cordova,59.46194,-146.30111,67,+9
30001959,pakc,25503,king salmon,ak,bristol bay,58.67944,-156.62944,63,+9
30001960,papd,24690,fairbanks,ak,fairbanks north star,65.03556,-147.49917,2593,+9
30001962,phki,22548,south kauai,hi,kauai,21.89417,-159.55222,179,+10
30001963,phkm,22550,kamuela,hi,hawaii,20.12556,-155.77778,3812,+10
30001964,phmo,22547,molokai,hi,hawaii,21.13278,-157.18,1363,+8
30001965,phwa,22513,south shore,hi,hawaii,19.095,-155.56889,1370,+10
30001966,tjua,11655,san juan,pr,san juan,18.1175,-66.07861,2794,+4
